Poem,Title,Nationality,Century,Gender
"The sun slides down behind brick dust,
today’s angle of life. Everything
melts, even when backbones
are I-beams braced for impact.
Sequential sledgehammers fall, stone
shaped into dry air
white soundsystem of loose metal
under every footstep. Wrecking crews,
men unable to catch sparrows without breaking
wings into splinters. Blues-horn
mercy. Bloodlines. Nothing
but the white odor of absence.
The big iron ball
swings, keeping time
to pigeons cooing in eaves
as black feathers
float on to blueprint
parking lots.",Urban Renewal,American,20th-century,Male
"Like hopeit springseternal,existing indiscrete butsphericalunits, amist of totalbut encapsulatedsalvationalevents. Ifany two ofthese bubblesbang againsteach other nowalls collapseor double toa larger chamberunlike the hallsof soap.",Salvations,American,20th-century,Female
"The man with the red hat
And the polar bear, is he here too?   
The window giving on shade,   
Is that here too?
And all the little helps,
My initials in the sky,
The hay of an arctic summer night?
The bear
Drops dead in sight of the window.
Lovely tribes have just moved to the north.
In the flickering evening the martins grow denser.   
Rivers of wings surround us and vast tribulation.",Glazunoviana,American,20th-century,Male
My father drummed darkness  Through the underbrush  Until lightning struck  I take after him  Clouds crowd the sky  Around me as I run  Downhill on a high—  I am my mother's son  Born long ago  In the storm's eye,Descent,American,20th-century,Male
"Not mine own fears, nor the prophetic soul Of the wide world dreaming on things to come, Can yet the lease of my true love control, Suppos'd as forfeit to a confin'd doom. The mortal moon hath her eclipse endur'd And the sad augurs mock their own presage; Incertainties now crown themselves assur'd And peace proclaims olives of endless age. Now with the drops of this most balmy time My love looks fresh, and Death to me subscribes, Since, spite of him, I'll live in this poor rhyme, While he insults o'er dull and speechless tribes; And thou in this shalt find thy monument, When tyrants' crests and tombs of brass are spent.","Sonnet 107: Not mine own fears, nor the prophetic soul",English,16th-century,Male
"What is your substance, whereof are you made,
That millions of strange shadows on you tend?
Since every one hath, every one, one shade,
And you, but one, can every shadow lend.
Describe Adonis, and the counterfeit
Is poorly imitated after you;
On Helen's cheek all art of beauty set,
And you in Grecian tires are painted new.
Speak of the spring and foison of the year:
The one doth shadow of your beauty show,
The other as your bounty doth appear;
And you in every blessèd shape we know.
    In all external grace you have some part,
    But you like none, none you, for constant heart.","Sonnet 53: What is your substance, whereof are you made",English,16th-century,Male
"no was a bad word in my home 
 no was met with the lash 
 erased from our vocabulary 
 beaten out of our backs 
 till we became well-behaved kids 
 who obediently nodded yes to everything 
 when he climbed on top of me 
 every part of my body wanted to reject it 
 but i couldn’ t say no to save my life 
 when i tried to scream 
 all that escaped me was silence 
 i heard no pounding her fist 
 on the roof of my mouth 
 begging to let her out 
 but i had not put up the exit sign 
 never built the emer gency staircase 
 there was no trapdoor for no to escape from 
 i want to ask all the 
 parents and guardians a question 
 what use was obedience then 
 when there were hands 
 that were not mine inside me 
 - how can i verbalize consent as an adult if i was 
 never taught to as a child",,Canadian,21st-century,Female
"The baby new to earth and sky,          What time his tender palm is prest          Against the circle of the breast, Has never thought that ""this is I"": But as he grows he gathers much,          And learns the use of ""I,"" and ""me,""          And finds ""I am not what I see, And other than the things I touch."" So rounds he to a separate mind          From whence clear memory may begin,          As thro' the frame that binds him in His isolation grows defined. This use may lie in blood and breath          Which else were fruitless of their due,          Had man to learn himself anew Beyond the second birth of Death.",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 45,English,19th-century,Male
"When the plowblade struck   An old stump hiding under   The soil like a beggar’s   Rotten tooth, they swarmed up   & Mister Jackson left the plow   Wedged like a whaler’s harpoon.   The horse was midnight   Against dusk, tethered to somebody’s   Pocketwatch.  He shivered, but not   The way women shook their heads   Before mirrors at the five   & dime—a deeper connection   To the low field’s evening star.   He stood there, in tracechains,   Lathered in froth, just   Stopped by a great, goofy   Calmness.  He whinnied   Once, & then the whole   Beautiful, blue-black sky   Fell on his back.",Yellowjackets,American,20th-century,Male
"Let’s make believeI am happy, I laughBlack poison, all of meIts bottleful,Become sparkling water",Psalm,American,20th-century,Male
"Not marble nor the gilded monuments
Of princes shall outlive this powerful rhyme,
But you shall shine more bright in these contents
Than unswept stone besmeared with sluttish time.
When wasteful war shall statues overturn,
And broils root out the work of masonry,
Nor Mars his sword nor war’s quick fire shall burn
The living record of your memory.
’Gainst death and all-oblivious enmity
Shall you pace forth; your praise shall still find room
Even in the eyes of all posterity
That wear this world out to the ending doom.
    So, till the Judgement that yourself arise,
    You live in this, and dwell in lovers’ eyes.",Sonnet 55: Not marble nor the gilded monuments,English,16th-century,Male
"Sometimes something like a second
washes the base of this street.
The father and his two assistants
are given permission to go.
One of them, a woman, asks, “Why
did we come here in the first place,
to this citadel of dampness?”
Some days are worse than others,
even if we can’t believe in them.
But that was never a concern of mine,
reasoned the patient.
Sing, scroll, or never be blasted by us
into marmoreal meaning, or the fist for it.
Kudos to the prince who journeyed here
to negotiate our release, if you can believe it.
You’re right. The ballads are retreating
back into the atmosphere.
They won’t be coming round again.
Make your peace.",Mean Particles,American,20th-century,Male
"Fast breaks. Lay ups. With Mercury's
Insignia on our sneakers,
We outmaneuvered the footwork
Of bad angels. Nothing but a hot
Swish of strings like silk
Ten feet out. In the roundhouse
Labyrinth our bodies
Created, we could almost
Last forever, poised in midair
Like storybook sea monsters.
A high note hung there
A long second. Off
The rim. We'd corkscrew
Up & dunk balls that exploded
The skullcap of hope & good
Intention. Lanky, all hands
& feet...sprung rhythm.
We were metaphysical when girls
Cheered on the sidelines.
Tangled up in a falling,
Muscles were a bright motor
Double-flashing to the metal hoop
Nailed to our oak.
When Sonny Boy's mama died
He played nonstop all day, so hard
Our backboard splintered.
Glistening with sweat,
We rolled the ball off
Our fingertips. Trouble
Was there slapping a blackjack
Against an open palm.
Dribble, drive to the inside,
& glide like a sparrow hawk.
Lay ups. Fast breaks.
We had moves we didn't know
We had. Our bodies spun
On swivels of bone & faith,
Through a lyric slipknot
Of joy, & we knew we were
Beautiful & dangerous.","Slam, Dunk, & Hook",American,20th-century,Male
"How many times these low feet staggered -
Only the soldered mouth can tell -
Try - can you stir the awful rivet -
Try - can you lift the hasps of steel!
Stroke the cool forehead - hot so often -
Lift - if you care - the listless hair -
Handle the adamantine fingers
Never a thimble - more - shall wear -
Buzz the dull flies - on the chamber window -
Brave - shines the sun through the freckled pane -
Fearless - the cobweb swings from the ceiling -
Indolent Housewife - in Daisies - lain!",How many times these low feet staggered (238),American,19th-century,Female
"Sharpen your wit—
Each half of it—
Before you shut
Scissors to cut
Shear skin deep
Underneath wool
Expose the sheep
Whose leg you pull",Scissors,American,20th-century,Male
"As onemay be relievedby the myriadmarigold facesheld aloftbeside the freeway — their articulation — and, too,by the rushof notesfollowing their ownlikenessesin these headlongphrasesRelieved of what?Relieved of what?",Headlong,American,21st-century,Female
"To all events I squirted youknowing this not to be this came to passwhen we were out and it looked good.Why wouldn’t you want a fresh pieceof outlook to stand in down the years?See, your house, a former human energy construction,crashed with us for a few days in Mayand sure enough, the polar inscapebrought about some easier poems,which I guessed was a good thing. At leastsome of us were relaxed, Steamboat Bill included.He didn’t drink nothing.It was one thingto be ready for their challenge, quite another to accept it.And if I had a piece of advice for you, this is it:Poke fun at balm, then suffer lethargyto irradiate its shallow flood in the new packagingour enemies processed. They should know.The Gold Dust Twins never stopped supplicating Hoosiersto limn the trail. There’s no Shakespeare.Through the window, Casanova.Couldn’t get to sleep in the dumb incidentof those days, crimping the frozen feet of Lincoln.",Bunch of Stuff,American,20th-century,Male
"what i miss most is how you loved me. but what i didn’t know was how you 
 loved me had so much to do with the person i was. it was a reflection of 
 everything i gave to you. coming back to me. how did i not see that. how. 
 did i sit here soaking in the idea that no one else would love me that way. 
 when it was i that taught you. when it was i that showed you how to fill. the 
 way i needed to be filled. how cruel i was to myself. giving you credit for 
 my warmth simply because you had felt it. thinking it was you who gave 
 me strength. wit. beauty. simply because you recognized it. as if i was 
 already not these things before i met you. as if i did not remain all these 
 once you left.",,Canadian,21st-century,Female
"O thou, my lovely boy, who in thy pow’r Dost hold time’s fickle glass his sickle hour, Who hast by waning grown, and therein show’st Thy lovers withering, as thy sweet self grow’st— In nature, sovereign mistress over wrack, As thou goest onwards still will pluck thee back, She keeps thee to this purpose, that her skill May time disgrace, and wretched minute kill. Yet fear her, O thou minion of her pleasure; She may detain but not still keep her treasure.    Her audit, though delayed, answered must be,    And her quietus is to render thee.","Sonnet 126: O thou, my lovely boy, who in thy pow’r",English,16th-century,Male
"There was a Boy; ye knew him well, ye cliffsAnd islands of Winander! many a time,At evening, when the earliest stars beganTo move along the edges of the hills,Rising or setting, would he stand alone,Beneath the trees, or by the glimmering lake;And there, with fingers interwoven, both handsPressed closely palm to palm and to his mouthUplifted, he, as through an instrument,Blew mimic hootings to the silent owlsThat they might answer him.—And they would shoutAcross the watery vale, and shout again,Responsive to his call,—with quivering peals,And long halloos, and screams, and echoes loudRedoubled and redoubled; concourse wildOf jocund din! And, when there came a pauseOf silence such as baffled his best skill:Then, sometimes, in that silence, while he hungListening, a gentle shock of mild surpriseHas carried far into his heart the voiceOf mountain-torrents; or the visible sceneWould enter unawares into his mindWith all its solemn imagery, its rocks,Its woods, and that uncertain heaven receivedInto the bosom of the steady lake.
     This boy was taken from his mates, and diedIn childhood, ere he was full twelve years old.Pre-eminent in beauty is the valeWhere he was born and bred: the churchyard hangsUpon a slope above the village-school;And through that churchyard when my way has ledOn summer-evenings, I believe that thereA long half-hour together I have stoodMute—looking at the grave in which he lies!",There was a Boy,English,19th-century,Male
"How like a winter hath my absence been
From thee, the pleasure of the fleeting year!
What freezings have I felt, what dark days seen!
What old December's bareness everywhere!
And yet this time remov'd was summer's time,
The teeming autumn, big with rich increase,
Bearing the wanton burthen of the prime,
Like widow'd wombs after their lords' decease:
Yet this abundant issue seem'd to me
But hope of orphans and unfather'd fruit;
For summer and his pleasures wait on thee,
And thou away, the very birds are mute;
Or if they sing, 'tis with so dull a cheer
That leaves look pale, dreading the winter's near.",Sonnet 97: How like a winter hath my absence been,English,16th-century,Male
"Ito ran to a window. He danced.He howled. He cursed the moon,interned in a camp before he wascarted on a ship back to Tokyo.Hadn’t he almost died for artthe evenings he ate bread soup?If he wished to forget those days& nights dancing in drawing roomsin London, or translating Fenollosa’snotes on Noh, he’d have to unbraidhimself from At the Hawk’s Well,& then let go of the Egyptianmask Dulac painted him into —claws, beak, feathers, & legend.Why did that silly boy tell a storyabout his grandmother weepingwhen she first saw him dressedin his grandfather’s samurai armorto hold the gaze of Lady Cunard?He was again studying the foxholding a biscuit in his hand,saying, “I went to a great hillin Hampstead & I made my soulinto the soul of a fox.” Finally,he would let go of his Europe,& not think of those he loved& taught, Isadora lost. Now,powerless & alone, he danceshis ten steps again & again,wanting to know if a hawkcould peck the eyes out of a fox.",Michio Ito’s Fox & Hawk,American,20th-century,Male
"The whole ball
of who we are
presses into
the green baize
at a single tiny
spot. An aural
track of crackle
betrays our passage
through the
fibrous jungle.
It’s hot and
desperate. Insects
spring out of it.
The pressure is
intense, and the
sense that we’ve
lost proportion.
As though bringing
too much to bear
too locally were
our decision.",A Ball Rolls on a Point,American,20th-century,Female
"I thought of Thee, my partner and my guide,As being past away.—Vain sympathies!For, backward, Duddon! as I cast my eyes,I see what was, and is, and will abide;Still glides the Stream, and shall for ever glide;The Form remains, the Function never dies;While we, the brave, the mighty, and the wise,We Men, who in our morn of youth defiedThe elements, must vanish;—be it so!Enough, if something from our hands have powerTo live, and act, and serve the future hour;And if, as toward the silent tomb we go,Through love, through hope, and faith's transcendent dower,We feel that we are greater than we know.",Sonnets from The River Duddon: After-Thought,English,19th-century,Male
"Curled up in bed, I’m young in the old way.                  •   One continuous stroke without lifting the pen as if“stem, tendril, stem tendril” were the words of a commandment.                  •   My next elliptical loops read “Praise.” Word deciphered at a snail’s pace.",Loop,American,21st-century,Female
"Is it, then, regret for buried time          That keenlier in sweet April wakes,          And meets the year, and gives and takes The colours of the crescent prime? Not all: the songs, the stirring air,          The life re-orient out of dust,          Cry thro' the sense to hearten trust In that which made the world so fair. Not all regret: the face will shine          Upon me, while I muse alone;          And that dear voice, I once have known, Still speak to me of me and mine: Yet less of sorrow lives in me          For days of happy commune dead;          Less yearning for the friendship fled, Than some strong bond which is to be.",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 116,English,19th-century,Male
"Let those who are in favour with their stars
Of public honour and proud titles boast,
Whilst I, whom fortune of such triumph bars,
Unlook'd for joy in that I honour most.
Great princes' favourites their fair leaves spread
But as the marigold at the sun's eye,
And in themselves their pride lies buried,
For at a frown they in their glory die.
The painful warrior famoused for fight,
After a thousand victories once foil'd,
Is from the book of honour razed quite,
And all the rest forgot for which he toil'd:
Then happy I, that love and am beloved
Where I may not remove nor be removed.",Sonnet 25: Let those who are in favour with their stars,English,16th-century,Male
"The girl in the green ski chasuble
hasn’t yet graduated from radio school.
Let’s pay attention.
Looking ahead, why, he waved his mouth along.
Doesn’t life get difficult in the summer?
The divine medicine for it collapsed
in front of the shortstop,
who took off like a battalion.
Crowds of older people who would read this
happily, willingly, then walking into night’s embrace,
then kiss. “To turn you out, to turn you out!”
Sometimes an arm is accused:
You could have felt it, the blue shirts,
phlegm central, four times a night.
But what does that get me?
Light refreshments.
When the suburban demonstration kind of shrunk
you put your foot out,
leave it or kiss it
or even two years ago,
Charmaine here tells us.
I think I should stay ...    
Cross-eyed sonofabitch ...    
He liked him, he could tell. A de-happening.
The gangster no longer wanted to sleep with him,
but what the heck. With time off
for actual fuzz collected ... All right, boys.
Cheap murders, peach driven ... I seen enough of those
samples along the way.",Late-ish,American,20th-century,Male
"Risest thou thus, dim dawn, again,          And howlest, issuing out of night,          With blasts that blow the poplar white, And lash with storm the streaming pane? Day, when my crown'd estate begun          To pine in that reverse of doom,          Which sicken'd every living bloom, And blurr'd the splendour of the sun; Who usherest in the dolorous hour          With thy quick tears that make the rose          Pull sideways, and the daisy close Her crimson fringes to the shower; Who might'st have heaved a windless flame          Up the deep East, or, whispering, play'd          A chequer-work of beam and shade Along the hills, yet look'd the same. As wan, as chill, as wild as now;          Day, mark'd as with some hideous crime,          When the dark hand struck down thro' time, And cancell'd nature's best: but thou, Lift as thou may'st thy burthen'd brows          Thro' clouds that drench the morning star,          And whirl the ungarner'd sheaf afar, And sow the sky with flying boughs, And up thy vault with roaring sound          Climb thy thick noon, disastrous day;          Touch thy dull goal of joyless gray, And hide thy shame beneath the ground.",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 72,English,19th-century,Male
"(from Richard III, spoken by Gloucester)



Now is the winter of our discontent
Made glorious summer by this sun of York;
And all the clouds that lour'd upon our house
In the deep bosom of the ocean buried.
Now are our brows bound with victorious wreaths;
Our bruised arms hung up for monuments;
Our stern alarums changed to merry meetings,
Our dreadful marches to delightful measures.
Grim-visaged war hath smooth'd his wrinkled front;
And now, instead of mounting barbed steeds
To fright the souls of fearful adversaries,
He capers nimbly in a lady's chamber
To the lascivious pleasing of a lute.
But I, that am not shaped for sportive tricks,
Nor made to court an amorous looking-glass;
I, that am rudely stamp'd, and want love's majesty
To strut before a wanton ambling nymph;
I, that am curtail'd of this fair proportion,
Cheated of feature by dissembling nature,
Deformed, unfinish'd, sent before my time
Into this breathing world, scarce half made up,
And that so lamely and unfashionable
That dogs bark at me as I halt by them;
Why, I, in this weak piping time of peace,
Have no delight to pass away the time,
Unless to spy my shadow in the sun
And descant on mine own deformity:
And therefore, since I cannot prove a lover,
To entertain these fair well-spoken days,
I am determined to prove a villain
And hate the idle pleasures of these days.
Plots have I laid, inductions dangerous,
By drunken prophecies, libels and dreams,
To set my brother Clarence and the king
In deadly hate the one against the other:
And if King Edward be as true and just
As I am subtle, false and treacherous,
This day should Clarence closely be mew'd up,
About a prophecy, which says that 'G'
Of Edward's heirs the murderer shall be.
Dive, thoughts, down to my soul: here
Clarence comes.",Speech: “Now is the winter of our discontent”,English,16th-century,Male
"the art of gr owing 
 i felt beautiful until the age of twelve 
 when my body began to ripen like new fruit 
 and suddenly 
 the men looked at my newborn hips with salivating lips 
 the boys didn’ t want to play tag at recess 
 they wanted to touch all the new 
 and unfamiliar parts of me 
 the parts i didn’ t know how to wear 
 didn’ t know how to carry 
 and tried to bury in my rib cage 
 boobs 
 they said 
 and i hated that word 
 hated that i was embarrassed to say it 
 that even though it was referring to my body 
 it didn’ t belong to me 
 it belonged to them 
 and they repeated it like 
 they were meditating upon it 
 boobs 
 he said 
 let me see yours 
 there is nothing worth seeing here but guilt and shame 
 i try to rot into the earth below my feet 
 but i am still standing one foot across 
 from his hooked fingers 
 and when he char ges to feast on my half moons 
 i bite into his forearm and decide i hate this body 
 i must have done something terrible to deserve it",,Canadian,21st-century,Female
"The light of evening, Lissadell,Great windows open to the south,Two girls in silk kimonos, bothBeautiful, one a gazelle.But a raving autumn shearsBlossom from the summer's wreath;The older is condemned to death,Pardoned, drags out lonely yearsConspiring among the ignorant.I know not what the younger dreams –Some vague Utopia – and she seems,When withered old and skeleton-gaunt,An image of such politics.Many a time I think to seekOne or the other out and speakOf that old Georgian mansion, mixPictures of the mind, recallThat table and the talk of youth,Two girls in silk kimonos, bothBeautiful, one a gazelle.Dear shadows, now you know it all,All the folly of a fightWith a common wrong or right.The innocent and the beautifulHave no enemy but time;Arise and bid me strike a matchAnd strike another till time catch;Should the conflagration climb,Run till all the sages know.We the great gazebo built,They convicted us of guilt;Bid me strike a match and blow.",In Memory of Eva Gore-Booth and Con Markievicz,Irish,20th-century,Male
"Extreme exertion
isolates a person
from help,
discovered Atlas.
Once a certain
shoulder-to-burden
ratio collapses,
there is so little
others can do:
they can’t
lend a hand
with Brazil
and not stand
on Peru.",Atlas,American,20th-century,Female
"They work fingers to bone & borrow
smudged paper, then make promises
to family, unmerciful gods, the unborn.
Some eat a favorite meal three times
in a row. Others partake only a pinch
of soil before boarding half-broken boats
& rubber rafts — half of the young women
big with life inside them, flesh & blood
for daydreams of the Arabian nights,
as makeshift charts & constellations
work their way through war & rumors
of war. The smugglers count their loot.
Hard winds rattle gongs over sea salt
till the rusty engines die, & cries alert
mermaid sirens as pirated schooners
adrift under a mute sky rock to & fro,
& the fight goes out of the few alive.
Their loved ones & friends, lost folk
songs, mountains & valleys, all left
behind. Searchlights spot the dead
hugging the living, & draglines raise
only those who were braver than us.
The lucky ones stumble out of stupor,
tried by raging water beneath black
skies, listening to the albatross talk.",Dead Reckoning III,American,20th-century,Male
"The statue, that cast
Of my solitude
Has found its niche
In this kitchen
Where I do not eat
Where the bathtub stands
Upon cat feet—
I did not advance
I cannot retreat",At a Standstill,American,20th-century,Male
"I can’t touch you.
His face always returns;
we exchange long looks
in each bad dream
& what I see, my God.
Honey, sweetheart,
I hold you against me
but nothing works.
Two boats moored,
rocking between nowhere
& nowhere.
A bone inside me whispersmaybe tonight, 
but I keep thinking
about the two men wrestling nude
in Lawrence’s Women in Love.
I can’t get past
reels of breath unwinding.
He has you. Now
he doesn’t. He has you
again. Now he doesn’t.
You’re at the edge of azaleas
shaken loose by a word.
I see your rose-colored
skirt unfurl.
He has a knife
to your throat,
night birds come back
to their branches.
A hard wind raps at the door,
the new year prowling
in a black overcoat.
It’s been six months
since we made love.
Tonight I look at you
hugging the pillow,
half smiling in your sleep.
I want to shake you & ask
who. Again I touch myself,
unashamed, until
his face comes into focus.
He’s stolen something
from me & I don’t know
if it has a name or not—
like counting your ribs
with one foolish hand
& mine with the other.",After Summer Fell Apart,American,20th-century,Male
"Now sleeps the crimson petal, now the white;
Nor waves the cypress in the palace walk;
Nor winks the gold fin in the porphyry font.
The firefly wakens; waken thou with me.
   Now droops the milk-white peacock like a ghost,
And like a ghost she glimmers on to me.
   Now lies the Earth all Danaë to the stars,
And all thy heart lies open unto me.
   Now slides the silent meteor on, and leaves
A shining furrow, as thy thoughts in me.
   Now folds the lily all her sweetness up,
And slips into the bosom of the lake.
So fold thyself, my dearest, thou, and slip
Into my bosom and be lost in me.",from The Princess: Now Sleeps the Crimson Petal,English,19th-century,Male
"Beneath these fruit-tree boughs that shedTheir snow-white blossoms on my head,With brightest sunshine round me spread
     Of spring's unclouded weather,In this sequestered nook how sweetTo sit upon my orchard-seat!And birds and flowers once more to greet,
     My last year's friends together.One have I marked, the happiest guestIn all this covert of the blest:Hail to Thee, far above the rest
     In joy of voice and pinion!Thou, Linnet! in thy green array,Presiding Spirit here to-day,Dost lead the revels of the May;
     And this is thy dominion.While birds, and butterflies, and flowers,Make all one band of paramours,Thou, ranging up and down the bowers,
     Art sole in thy employment:A Life, a Presence like the Air,Scattering thy gladness without care,Too blest with any one to pair;
     Thyself thy own enjoyment.Amid yon tuft of hazel trees,That twinkle to the gusty breeze,Behold him perched in ecstasies,
     Yet seeming still to hover;There! where the flutter of his wingsUpon his back and body flingsShadows and sunny glimmerings,
     That cover him all over.My dazzled sight he oft deceives,A brother of the dancing leaves;Then flits, and from the cottage-eaves
     Pours forth his song in gushes;As if by that exulting strainHe mocked and treated with disdainThe voiceless Form he chose to feign,
     While fluttering in the bushes.",The Green Linnet,English,19th-century,Male
"I like to see it lap the Miles -
And lick the Valleys up - 
And stop to feed itself at Tanks - 
And then - prodigious step
Around a Pile of Mountains - 
And supercilious peer
In Shanties - by the sides of Roads - 
And then a Quarry pare
To fit its sides
And crawl between
Complaining all the while
In horrid - hooting stanza - 
Then chase itself down Hill - 
And neigh like Boanerges - 
Then - prompter than a Star
Stop - docile and omnipotent
At it's own stable door -",I like to see it lap the Miles - (383),American,19th-century,Female
"(from Macbeth, spoken by Macbeth)



Tomorrow, and tomorrow, and tomorrow,Creeps in this petty pace from day to day,To the last syllable of recorded time;And all our yesterdays have lighted foolsThe way to dusty death. Out, out, brief candle!Life's but a walking shadow, a poor player,That struts and frets his hour upon the stage,And then is heard no more. It is a taleTold by an idiot, full of sound and fury,Signifying nothing.","Speech: “Tomorrow, and tomorrow, and tomorrow”",English,16th-century,Male
"Not the smoothness, not the insane clocks on the square,
the scent of manure in the municipal parterre,
not the fabrics, the sullen mockery of Tweety Bird,
not the fresh troops that needed freshening up. If it occurred
in real time, it was OK, and if it was time in a novel
that was OK too. From palace and hovel
the great parade flooded avenue and byway
and turnip fields became just another highway.
Leftover bonbons were thrown to the chickens
and geese, who squawked like the very dickens.
There was no peace in the bathroom, none in the china closet
or the banks, where no one came to make a deposit.
In short all hell broke loose that wide afternoon.
By evening all was calm again. A crescent moon
hung in the sky like a parrot on its perch.
Departing guests smiled and called, ""See you in church!""
For night, as usual, knew what it was doing,
providing sleep to offset the great ungluing
that tomorrow again would surely bring.
As I gazed at the quiet rubble, one thing
puzzled me: What had happened, and why?
One minute we were up to our necks in rebelliousness,
and the next, peace had subdued the ranks of hellishness.
So often it happens that the time we turn around in
soon becomes the shoal our pathetic skiff will run aground in.
And just as waves are anchored to the bottom of the sea
we must reach the shallows before God cuts us free.",A Worldly Country,American,20th-century,Male
"Ventriloquy
is the mother tongue.
Can you colonize rejection   
by phrasing your request,
                                       “Me want?”
Song: “I’m not a baby.   
         Wa, Wa, Wa.
         I’m not a baby.   
         Wa, Wa, Wa.
         I’m crazy   
         like you.”
The “you”
in the heart of   
molecule and ridicule.
Marks resembling   
the holes
in dead leaves
define the thing (moth wing).
That flutter
of indifference,
                         feigned?
But if lapses   are the dens
strategy aims   
to conceal,
then you don’t know   
what you’re asking.",Attention,American,21st-century,Female
"Strand. String.
In this dream,
the paths cross
and cross again.
They are spelling
a real boy
out of repetition.
 
 • 
Each one
is the one
real boy.
Each knows
he must be
wrong
about this, but
he can’t feel
how.
 
• 
The fish
and the fisherman,
the pilot,
the princess,
the fireman and
the ones on fire.",Pinocchio,American,21st-century,Female
"Most sweet it is with unuplifted eyesTo pace the ground, if path be there or none,While a fair region round the traveller liesWhich he forbears again to look upon;Pleased rather with some soft ideal scene,The work of Fancy, or some happy toneOf meditation, slipping in betweenThe beauty coming and the beauty gone.If Thought and Love desert us, from that dayLet us break off all commerce with the Muse:With Thought and Love companions of our way,Whate'er the senses take or may refuse,The Mind's internal heaven shall shed her dewsOf inspiration on the humblest lay.",Most Sweet it is,English,19th-century,Male
"Let me not to the marriage of true minds Admit impediments. Love is not love Which alters when it alteration finds, Or bends with the remover to remove. O no! it is an ever-fixed mark That looks on tempests and is never shaken; It is the star to every wand'ring bark, Whose worth's unknown, although his height be taken. Love's not Time's fool, though rosy lips and cheeks Within his bending sickle's compass come; Love alters not with his brief hours and weeks, But bears it out even to the edge of doom. If this be error and upon me prov'd, I never writ, nor no man ever lov'd.",Sonnet 116: Let me not to the marriage of true minds,English,16th-century,Male
"Since brass, nor stone, nor earth, nor boundless sea
But sad mortality o’er-sways their power,
How with this rage shall beauty hold a plea,
Whose action is no stronger than a flower?
O, how shall summer’s honey breath hold out
Against the wrackful siege of batt’ring days,
When rocks impregnable are not so stout,
Nor gates of steel so strong, but time decays?
O fearful meditation! where, alack,
Shall time’s best jewel from time’s chest lie hid?
Or what strong hand can hold his swift foot back?
Or who his spoil of beauty can forbid?
   O, none, unless this miracle have might,
   That in black ink my love may still shine bright.","Sonnet 65: Since brass, nor stone, nor earth, nor boundless sea",English,16th-century,Male
"There doesn’t seemto be a crack. Ahigher pin cannotbe set. Nor can you go back. Youhadn’t even knownthe face was vertical.All you did was walk into a room.The tipping upfrom flat wasgradual, youmust assume.",All You Did,American,20th-century,Female
"O sweet everlasting Voices, be still; Go to the guards of the heavenly fold And bid them wander obeying your will, Flame under flame, till Time be no more; Have you not heard that our hearts are old, That you call in birds, in wind on the hill, In shaken boughs, in tide on the shore? O sweet everlasting Voices, be still.",The Everlasting Voices,Irish,20th-century,Male
"No more than that
Dead cat shall I
Escape the corpse
I kept in shape
For the day off
Immortals take",Forever and a Day,American,20th-century,Male
"Sad Hesper o'er the buried sun          And ready, thou, to die with him,          Thou watchest all things ever dim And dimmer, and a glory done: The team is loosen'd from the wain,          The boat is drawn upon the shore;          Thou listenest to the closing door, And life is darken'd in the brain. Bright Phosphor, fresher for the night,          By thee the world's great work is heard          Beginning, and the wakeful bird; Behind thee comes the greater light: The market boat is on the stream,          And voices hail it from the brink;          Thou hear'st the village hammer clink, And see'st the moving of the team. Sweet Hesper-Phosphor, double name          For what is one, the first, the last,          Thou, like my present and my past, Thy place is changed; thou art the same.",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 121,English,19th-century,Male
"(Alcaics)



O mighty-mouth'd inventor of harmonies,O skill'd to sing of Time or Eternity,     God-gifted organ-voice of England,          Milton, a name to resound for ages;Whose Titan angels, Gabriel, Abdiel,Starr'd from Jehovah's gorgeous armouries,     Tower, as the deep-domed empyrean          Rings to the roar of an angel onset—Me rather all that bowery loneliness,The brooks of Eden mazily murmuring,     And bloom profuse and cedar arches          Charm, as a wanderer out in ocean,Where some refulgent sunset of IndiaStreams o'er a rich ambrosial ocean isle,     And crimson-hued the stately palm-woods          Whisper in odorous heights of even.",Milton,English,19th-century,Male
"No changes of support—only
Patches of gray, here where sunlight fell.
The house seems heavier
Now that they have gone away.   
In fact it emptied in record time.   
When the flat table used to result
A match recedes, slowly, into the night.
The academy of the future is   
Opening its doors and willing
The fruitless sunlight streams into domes,   
The chairs piled high with books and papers.
The sedate one is this month’s skittish one   
Confirming the property that,
A timeless value, has changed hands.
And you could have a new automobile
Ping pong set and garage, but the thief   
Stole everything like a miracle.
In his book there was a picture of treason only   
And in the garden, cries and colors.",Last Month,American,20th-century,Male
