Poet,Poem,Title,Nationalty,Century,Gender
"Alfred, Lord Tennyson","O that ’twere possibleAfter long grief and painTo find the arms of my true loveRound me once again!...A shadow flits before me,Not thou, but like to thee:Ah, Christ! that it were possibleFor one short hour to seeThe souls we loved, that they might tell usWhat and where they be!",from Maud: O that 'twere possible,English,19th-century,Male
"Alfred, Lord Tennyson","Light, so low upon earth,    You send a flash to the sun. Here is the golden close of love,    All my wooing is done. Oh, all the woods and the meadows,    Woods, where we hid from the wet, Stiles where we stayed to be kind,    Meadows in which we met! Light, so low in the vale    You flash and lighten afar, For this is the golden morning of love,    And you are his morning star. Flash, I am coming, I come,    By meadow and stile and wood, Oh, lighten into my eyes and my heart,    Into my heart and my blood! Heart, are you great enough    For a love that never tires? O heart, are you great enough for love?    I have heard of thorns and briers. Over the thorns and briers,    Over the meadows and stiles, Over the world to the end of it    Flash of a million miles.",Marriage Morning,English,19th-century,Male
William Shakespeare,"O! never say that I was false of heart, Though absence seemed my flame to qualify. As easy might I from myself depart As from my soul, which in thy breast doth lie: That is my home of love; if I have ranged, Like him that travels, I return again, Just to the time, not with the time exchanged, So that myself bring water for my stain. Never believe, though in my nature reigned All frailties that besiege all kinds of blood, That it could so preposterously be stained, To leave for nothing all thy sum of good;    For nothing this wide universe I call,    Save thou, my rose; in it thou art my all.",Sonnet 109: O! never say that I was false of heart,English,16th-century,Male
"Alfred, Lord Tennyson","In Love, if Love be Love, if Love be ours,Faith and unfaith can ne’er be equal powers:Unfaith in aught is want of faith in all.It is the little rift within the lute,That by and by will make the music mute,And ever widening slowly silence all.The little rift within the lover’s lute,Or little pitted speck in garner’d fruit,That rotting inward slowly moulders all.It is not worth the keeping: let it go:But shall it? answer, darling, answer, no.And trust me not at all or all in all.",from Merlin and Vivien,English,19th-century,Male
William Butler Yeats,"Down by the salley gardens
   my love and I did meet;
She passed the salley gardens
   with little snow-white feet.
She bid me take love easy,
   as the leaves grow on the tree;
But I, being young and foolish,
   with her would not agree.
In a field by the river
   my love and I did stand,
And on my leaning shoulder
   she laid her snow-white hand.
She bid me take life easy,
   as the grass grows on the weirs;
But I was young and foolish,
   and now am full of tears.",Down By the Salley Gardens,Irish,20th-century,Male
William Shakespeare,"When my love swears that she is made of truth, I do believe her, though I know she lies, That she might think me some untutored youth, Unlearnèd in the world’s false subtleties. Thus vainly thinking that she thinks me young, Although she knows my days are past the best, Simply I credit her false-speaking tongue: On both sides thus is simple truth suppressed. But wherefore says she not she is unjust? And wherefore say not I that I am old? Oh, love’s best habit is in seeming trust, And age in love loves not to have years told.     Therefore I lie with her and she with me,     And in our faults by lies we flattered be.",Sonnet 138: When my love swears that she is made of truth,English,16th-century,Male
William Shakespeare,"To me, fair friend, you never can be old, For as you were when first your eye I eyed, Such seems your beauty still. Three winters cold Have from the forests shook three summers’ pride, Three beauteous springs to yellow autumn turned In process of the seasons have I seen, Three April perfumes in three hot Junes burned, Since first I saw you fresh, which yet are green. Ah, yet doth beauty, like a dial-hand, Steal from his figure, and no pace perceived; So your sweet hue, which methinks still doth stand, Hath motion, and mine eye may be deceived: For fear of which, hear this, thou age unbred: Ere you were born was beauty’s summer dead.","Sonnet 104: To me, fair friend, you never can be old",English,16th-century,Male
William Shakespeare,"Being your slave, what should I do but tend
Upon the hours and times of your desire?
I have no precious time at all to spend,
Nor services to do, till you require.
Nor dare I chide the world-without-end hour
Whilst I, my sovereign, watch the clock for you.
Nor think the bitterness of absence sour
When you have bid your servant once adieu;
Nor dare I question with my jealous thought
Where you may be, or your affairs suppose,
But like a sad slave, stay and think of nought,
Save, where you are how happy you make those.
So true a fool is love that in your will
Though you do anything, he thinks no ill.","Sonnet 57: Being your slave, what should I do but tend",English,16th-century,Male
William Shakespeare,"When forty winters shall besiege thy brow
And dig deep trenches in thy beauty’s field,
Thy youth’s proud livery, so gazed on now,
Will be a tattered weed, of small worth held.
Then being asked where all thy beauty lies—
Where all the treasure of thy lusty days—
To say within thine own deep-sunken eyes
Were an all-eating shame and thriftless praise.
How much more praise deserved thy beauty’s use 
If thou couldst answer ""This fair child of mine
Shall sum my count and make my old excuse"", 
Proving his beauty by succession thine.
    This were to be new made when thou art old,
    And see thy blood warm when thou feel’st it cold.",Sonnet 2: When forty winters shall besiege thy brow,English,16th-century,Male
William Shakespeare,"A woman’s face with nature’s own hand painted
Hast thou, the master-mistress of my passion;
A woman’s gentle heart, but not acquainted
With shifting change as is false women’s fashion;
An eye more bright than theirs, less false in rolling,
Gilding the object whereupon it gazeth;
A man in hue, all hues in his controlling,
Which steals men’s eyes and women’s souls amazeth.
And for a woman wert thou first created,
Till nature as she wrought thee fell a-doting,
And by addition me of thee defeated
By adding one thing to my purpose nothing.
      But since she pricked thee out for women's pleasure,
      Mine be thy love and thy love’s use their treasure.",Sonnet 20: A woman’s face with nature’s own hand painted,English,16th-century,Male
William Shakespeare,"Take all my loves, my love, yea, take them all:
What hast thou then more than thou hadst before?
No love, my love, that thou mayst true love call—
All mine was thine before thou hadst this more.
Then if for my love thou my love receivest,
I cannot blame thee for my love thou usest;
But yet be blamed if thou this self deceivest
By wilful taste of what thyself refusest.
I do forgive thy robb’ry, gentle thief,
Although thou steal thee all my poverty;
And yet love knows it is a greater grief
To bear love’s wrong than hate’s known injury.
    Lascivious grace, in whom all ill well shows,
    Kill me with spites, yet we must not be foes.","Sonnet 40: Take all my loves, my love, yea, take them all",English,16th-century,Male
William Shakespeare,"(from Twelfth Night)



When that I was and a little tiny boy,     With hey, ho, the wind and the rain, A foolish thing was but a toy,     For the rain it raineth every day. But when I came to man’s estate,     With hey, ho, the wind and the rain, ’Gainst knaves and thieves men shut their gate,     For the rain it raineth every day. But when I came, alas! to wive,     With hey, ho, the wind and the rain, By swaggering could I never thrive,     For the rain it raineth every day. But when I came unto my beds,     With hey, ho, the wind and the rain, With toss-pots still had drunken heads,     For the rain it raineth every day. A great while ago the world begun,     With hey, ho, the wind and the rain, But that’s all one, our play is done,     And we’ll strive to please you every day.","Song: “When that I was and a little tiny boy (With hey, ho, the wind and the rain)”",English,16th-century,Male
William Shakespeare,"(from Cymbeline)



Fear no more the heat o’ the sun, Nor the furious winter’s rages; Thou thy worldly task hast done, Home art gone, and ta’en thy wages: Golden lads and girls all must, As chimney-sweepers, come to dust. Fear no more the frown o’ the great; Thou art past the tyrant’s stroke; Care no more to clothe and eat; To thee the reed is as the oak: The scepter, learning, physic, must All follow this, and come to dust. Fear no more the lightning flash, Nor the all-dreaded thunder stone; Fear not slander, censure rash; Thou hast finished joy and moan: All lovers young, all lovers must Consign to thee, and come to dust. No exorciser harm thee! Nor no witchcraft charm thee! Ghost unlaid forbear thee! Nothing ill come near thee! Quiet consummation have; And renownèd be thy grave!",Song: “Fear no more the heat o’ the sun” ,English,16th-century,Male
William Shakespeare,"From you have I been absent in the spring,
When proud-pied April, dressed in all his trim,
Hath put a spirit of youth in everything,
That heavy Saturn laughed and leaped with him.
Yet nor the lays of birds, nor the sweet smell
Of different flowers in odour and in hue,
Could make me any summer’s story tell,
Or from their proud lap pluck them where they grew:
Nor did I wonder at the lily’s white,
Nor praise the deep vermilion in the rose;
They were but sweet, but figures of delight
Drawn after you, – you pattern of all those.
    Yet seem’d it winter still, and, you away,
    As with your shadow I with these did play.",Sonnet 98: From you have I been absent in the spring,English,16th-century,Male
Kay Ryan,"Who would be a turtle who could help it?
A barely mobile hard roll, a four-oared helmet,
she can ill afford the chances she must take
in rowing toward the grasses that she eats.
Her track is graceless, like dragging
a packing-case places, and almost any slope
defeats her modest hopes. Even being practical,
she's often stuck up to the axle on her way
to something edible. With everything optimal,
she skirts the ditch which would convert
her shell into a serving dish. She lives
below luck-level, never imagining some lottery
will change her load of pottery to wings.
Her only levity is patience,
the sport of truly chastened things.",Turtle,American,20th-century,Female
William Shakespeare,"From fairest creatures we desire increase,
That thereby beauty’s rose might never die,
But as the riper should by time decease,
His tender heir might bear his memory;
But thou, contracted to thine own bright eyes,
Feed’st thy light’s flame with self-substantial fuel,
Making a famine where abundance lies,
Thyself thy foe, to thy sweet self too cruel.
Thou that art now the world’s fresh ornament
And only herald to the gaudy spring,
Within thine own bud buriest thy content,
And, tender churl, mak’st waste in niggarding.
   Pity the world, or else this glutton be,
   To eat the world’s due, by the grave and thee.",Sonnet 1: From fairest creatures we desire increase,English,16th-century,Male
William Shakespeare,"Look in thy glass and tell the face thou viewest,
Now is the time that face should form another,
Whose fresh repair if now thou not renewest,
Thou dost beguile the world, unbless some mother.
For where is she so fair whose uneared womb
Disdains the tillage of thy husbandry?
Or who is he so fond will be the tomb
Of his self-love, to stop posterity?
Thou art thy mother’s glass, and she in thee
Calls back the lovely April of her prime;
So thou through windows of thine age shalt see,
Despite of wrinkles, this thy golden time.
    But if thou live rememb’red not to be,
    Die single, and thine image dies with thee.",Sonnet 3: Look in thy glass and tell the face thou viewest,English,16th-century,Male
William Shakespeare,"No more be grieved at that which thou hast done:
Roses have thorns, and silver fountains mud,
Clouds and eclipses stain both moon and sun,
And loathsome canker lives in sweetest bud.
All men make faults, and even I in this,
Authórizing thy trespass with compare,
Myself corrupting salving thy amiss,
Excusing thy sins more than thy sins are:
For to thy sensual fault I bring in sense—
Thy adverse party is thy advocate—
And ‘gainst myself a lawful plea commence.
Such civil war is in my love and hate,
   That I an áccessory needs must be
   To that sweet thief which sourly robs from me.",Sonnet 35: No more be grieved at that which thou hast done,English,16th-century,Male
William Shakespeare,"Since brass, nor stone, nor earth, nor boundless sea
But sad mortality o’er-sways their power,
How with this rage shall beauty hold a plea,
Whose action is no stronger than a flower?
O, how shall summer’s honey breath hold out
Against the wrackful siege of batt’ring days,
When rocks impregnable are not so stout,
Nor gates of steel so strong, but time decays?
O fearful meditation! where, alack,
Shall time’s best jewel from time’s chest lie hid?
Or what strong hand can hold his swift foot back?
Or who his spoil of beauty can forbid?
   O, none, unless this miracle have might,
   That in black ink my love may still shine bright.","Sonnet 65: Since brass, nor stone, nor earth, nor boundless sea",English,16th-century,Male
William Shakespeare,"Why is my verse so barren of new pride,
So far from variation or quick change?
Why with the time do I not glance aside
To new-found methods, and to compounds strange?
Why write I still all one, ever the same,
And keep invention in a noted weed,
That every word doth almost tell my name,
Showing their birth, and where they did proceed?
O know, sweet love, I always write of you,
And you and love are still my argument,
So all my best is dressing old words new,
Spending again what is already spent:
   For as the sun is daily new and old,
   So is my love still telling what is told.",Sonnet 76: Why is my verse so barren of new pride,English,16th-century,Male
William Shakespeare,"Farewell! thou art too dear for my possessing,
And like enough thou knowst thy estimate.
The Charter of thy worth gives thee releasing;
My bonds in thee are all determinate.
For how do I hold thee but by thy granting,
And for that riches where is my deserving?
The cause of this fair gift in me is wanting,
And so my patent back again is swerving.
Thy self thou gav'st, thy own worth then not knowing,
Or me, to whom thou gav'st it, else mistaking,
So thy great gift, upon misprision growing,
Comes home again, on better judgement making.
   Thus have I had thee as a dream doth flatter:
   In sleep a king, but waking no such matter.",Sonnet 87: Farewell! thou art too dear for my possessing,English,16th-century,Male
William Shakespeare,"O thou, my lovely boy, who in thy pow’r Dost hold time’s fickle glass his sickle hour, Who hast by waning grown, and therein show’st Thy lovers withering, as thy sweet self grow’st— In nature, sovereign mistress over wrack, As thou goest onwards still will pluck thee back, She keeps thee to this purpose, that her skill May time disgrace, and wretched minute kill. Yet fear her, O thou minion of her pleasure; She may detain but not still keep her treasure.    Her audit, though delayed, answered must be,    And her quietus is to render thee.","Sonnet 126: O thou, my lovely boy, who in thy pow’r",English,16th-century,Male
William Shakespeare,"Whoever hath her wish, thou hast thy Will, And Will to boot, and Will in overplus; More than enough am I that vex thee still, To thy sweet will making addition thus. Wilt thou, whose will is large and spacious, Not once vouchsafe to hide my will in thine? Shall will in others seem right gracious, And in my will no fair acceptance shine? The sea, all water, yet receives rain still, And in abundance addeth to his store; So thou being rich in Will add to thy Will One will of mine, to make thy large Will more.    Let no unkind, no fair beseechers kill;    Think all but one, and me in that one Will.","Sonnet 135: Whoever hath her wish, thou hast thy Will",English,16th-century,Male
William Shakespeare,"Two loves I have of comfort and despair, Which like two spirits do suggest me still The better angel is a man right fair, The worser spirit a woman coloured ill. To win me soon to hell, my female evil Tempteth my better angel from my side, And would corrupt my saint to be a devil, Wooing his purity with her foul pride. And, whether that my angel be turn’d fiend, Suspect I may, yet not directly tell, But being both from me both to each friend, I guess one angel in another’s hell.    Yet this shall I ne’er know, but live in doubt,    Till my bad angel fire my good one out.",Sonnet 144: Two loves I have of comfort and despair,English,16th-century,Male
William Shakespeare,"Blow, blow, thou winter wind,    Thou art not so unkind       As man’s ingratitude;    Thy tooth is not so keen, Because thou art not seen,       Although thy breath be rude. Heigh-ho! sing, heigh-ho! unto the green holly: Most friendship is feigning, most loving mere folly:    Then, heigh-ho, the holly!       This life is most jolly.","Song: “Blow, blow, thou winter wind”",English,16th-century,Male
William Shakespeare,"(from Much Ado About Nothing)



Sigh no more, ladies, sigh no more.     Men were deceivers ever, One foot in sea, and one on shore,     To one thing constant never. Then sigh not so, but let them go,     And be you blithe and bonny, Converting all your sounds of woe     Into hey nonny, nonny. Sing no more ditties, sing no more     Of dumps so dull and heavy. The fraud of men was ever so     Since summer first was leafy. Then sigh not so, but let them go,     And be you blithe and bonny, Converting all your sounds of woe     Into hey, nonny, nonny.","Song: “Sigh no more, ladies, sigh no more”",English,16th-century,Male
William Shakespeare,"(from Twelfth Night)



Come away, come away, death,     And in sad cypress let me be laid. Fly away, fly away, breath;     I am slain by a fair cruel maid. My shroud of white, stuck all with yew,              O, prepare it! My part of death, no one so true          Did share it. Not a flower, not a flower sweet,     On my black coffin let there be strown. Not a friend, not a friend greet     My poor corpse, where my bones shall be thrown. A thousand thousand sighs to save,              Lay me, O, where Sad true lover never find my grave,              To weep there!","Song: “Come away, come away, death” ",English,16th-century,Male
William Shakespeare,"(from The Tempest)



Where the bee sucks, there suck I: In a cowslip’s bell I lie; There I couch when owls do cry. On the bat’s back I do fly After summer merrily.   Merrily, merrily shall I live now Under the blossom that hangs on the bough.","Song: “Where the bee sucks, there suck I”",English,16th-century,Male
William Shakespeare,"(from Two Gentlemen of Verona)



Who is Silvia? what is she,     That all our swains commend her? Holy, fair, and wise is she;     The heaven such grace did lend her, That she might admirèd be. Is she kind as she is fair?     For beauty lives with kindness. Love doth to her eyes repair,     To help him of his blindness; And, being helped, inhabits there. Then to Silvia let us sing,     That Silvia is excelling; She excels each mortal thing     Upon the dull earth dwelling;  To her let us garlands bring",Song: “Who is Silvia? what is she”,English,16th-century,Male
Samuel Menashe,"Sharpen your wit—
Each half of it—
Before you shut
Scissors to cut
Shear skin deep
Underneath wool
Expose the sheep
Whose leg you pull",Scissors,American,20th-century,Male
Yusef Komunyakaa,"When the plowblade struck   An old stump hiding under   The soil like a beggar’s   Rotten tooth, they swarmed up   & Mister Jackson left the plow   Wedged like a whaler’s harpoon.   The horse was midnight   Against dusk, tethered to somebody’s   Pocketwatch.  He shivered, but not   The way women shook their heads   Before mirrors at the five   & dime—a deeper connection   To the low field’s evening star.   He stood there, in tracechains,   Lathered in froth, just   Stopped by a great, goofy   Calmness.  He whinnied   Once, & then the whole   Beautiful, blue-black sky   Fell on his back.",Yellowjackets,American,20th-century,Male
Emily Dickinson,"Highlight Actions
Enable or disable annotations




I started Early – Took my Dog –
And visited the Sea –
The Mermaids in the BasementBasement i.e., the bottom of the ocean
Came out to look at me –
And FrigatesFrigates fast and highly maneuverable warships of the 18th and 19th centuries, used to escort other larger ships, or to patrol the coast and blockade harbors – in the Upper Floor
Extended Hempen HandsHempen Hands strong, thick ropes made of hemp, used on ships –
Presuming Me to be a Mouse –
Aground – oponopon upon the Sands –
But no Man moved Me – till the Tide
Went past my simple Shoe –
And past my Apron – and my Belt
And past my BoddiceBoddice bodice; an upper part of a woman’s dress, or a rigid, laced corset worn underneath clothing, covering the upper part of a woman’s body – too –
And made as He would eat me up –
As wholly as a Dew
Opon a Dandelion's Sleeve –
And then – I started – too –
And He – He followed – close behind –
I felt His Silver Heel
Opon my Ancle – Then My Shoes
Would overflow with Pearl –
Until We met the Solid Town –
No One He seemed to know –
And bowing – with a Mighty look –
At me – The Sea withdrew –",I started Early – Took my Dog – (656),American,19th-century,Female
William Wordsworth,"I heard a thousand blended notes, While in a grove I sate reclined, In that sweet mood when pleasant thoughts Bring sad thoughts to the mind. To her fair works did Nature link The human soul that through me ran; And much it grieved my heart to think What man has made of man. Through primrose tufts, in that green bower, The periwinkle trailed its wreaths; And ’tis my faith that every flower Enjoys the air it breathes. The birds around me hopped and played, Their thoughts I cannot measure:— But the least motion which they made It seemed a thrill of pleasure. The budding twigs spread out their fan, To catch the breezy air; And I must think, do all I can, That there was pleasure there. If this belief from heaven be sent, If such be Nature’s holy plan, Have I not reason to lament What man has made of man?",Lines Written in Early Spring,English,19th-century,Male
Samuel Menashe,"Water opens without end
At the bow of the ship
Rising to descend
Away from it
Days become one
I am who I was",Voyage,American,20th-century,Male
Samuel Menashe,"A-
round
my neck
an amu-
let
Be-
tween
my eyes
a star
A
ring
in my
nose
and a
gold
chain
to
Keep me
where
You
are
*",A-,American,20th-century,Male
Samuel Menashe,"I walk outside the stone wall
Looking into the park at night
As armed trees frisk a windfall
Down paths that lampposts light",Autumn,American,20th-century,Male
Samuel Menashe,"In my coat I sit
At the window sill
Wintering with snow
That did not melt
It fell long ago
At night, by stealth
I was where I am
When the snow began",The Dead of Winter,American,20th-century,Male
Samuel Menashe,"No more than that
Dead cat shall I
Escape the corpse
I kept in shape
For the day off
Immortals take",Forever and a Day,American,20th-century,Male
Samuel Menashe,"1
Scribe out of work
At a loss for words
Not his to begin with,
The man life passed by
Stands at the window
Biding his time
       2
Time and again
And now once more
I climb these stairs
Unlock this door—
No name where I live
Alone in my lair
With one bone to pick
And no time to spare",Curriculum Vitae,American,20th-century,Male
Samuel Menashe,"The statue, that cast
Of my solitude
Has found its niche
In this kitchen
Where I do not eat
Where the bathtub stands
Upon cat feet—
I did not advance
I cannot retreat",At a Standstill,American,20th-century,Male
Samuel Menashe,"Ribs ripple skin
Up to the nipples—
Noah, equipped, knew
Every one has two—
This ark I am in
Embarks my twin",Mirror Image,American,20th-century,Male
Samuel Menashe,"I am the man
Whose name is mud
But what’s in a name
To shame one who knows
Mud does not stain
Clay he’s made of
Dust Adam became—
The dust he was—
Was he his name",Adam Means Earth*,American,20th-century,Male
Samuel Menashe,"Stone worn
Overgrown
Pristine thorns
Sheep shorn
Tinkling below
Roofless walls
Rooks overlookI told you so
Babbles the brook",Ruins,American,20th-century,Male
Samuel Menashe,"(Morton St. Pier)



Lying here
Flat on my back
I can almost see
Myself in the morgue
On a slab, tagged
I am the corpse
No one will have
Not stabbed, stored
No one takes my life
It goes by the board",Twilight Blues,American,20th-century,Male
Samuel Menashe,"So they stood
Upon ladders
With pruning hooks
Backs to the king
Who took his leave
Of gardening
This morning
I am forlorn
As he was then
No one born
After the war
Remembers when",So they stood,American,20th-century,Male
Samuel Menashe,"A pot poured out
Fulfills its spout",A pot poured out,American,20th-century,Male
Samuel Menashe,"In a doorway
Staring at rain
Simple withstands
Time on his hands",Simon Says,American,20th-century,Male
Samuel Menashe,"In their doorways women sit sewing
By the good light of afternoon
And nothing is beyond knowing
Though the sun shall go down soon
A shepherdess near a bramble ditch
And the Princess in the Alcazar
Keep the same precise stitch
And they both can see far
And when the knell tolls
All are wondering who—
If it is a lady, many bells
For a beggar, one will do",Small Kingdom,American,20th-century,Male
Samuel Menashe,"Here and there
White hairs appear
On my chest—
Age seasons me
Gives me zest—
I am a sage
In the making
Sprinkled, shaking",Salt and Pepper,American,20th-century,Male
Samuel Menashe,"Before long the end
Of the beginning
Begins to bend
To the beginning
Of the end you live
With some misgivings
About what you did.",The Living End,American,20th-century,Male
Samuel Menashe,"His body ahead
Of him on the bed
He faces his feet
Sees himself dead,
A corpse complete
With legs and chest
And belly between
Swelling the scene
Of the crime you left,
Taking your time,
Angel of Death",The Visitation,American,20th-century,Male
Samuel Menashe,"The niche narrows
Hones one thin
Until his bones
Disclose him",The Niche,American,20th-century,Male
Samuel Menashe,"Old as I am
This candle I light
For you today
May be the last one
Of your afterlife
With me, your son—
With me you die twice.",Commemoration,American,20th-century,Male
Rae Armantrout,"Card in pew pocket
announces,
“I am here.”
I made only one statement
because of a bad winter.
Grease is the word; grease
is the way
I am feeling.
Real life emergencies or
flubbing behind the scenes.
As a child,   
I was abandoned
in a story
made of trees.
Here’s the small
gasp
of this clearing
come “upon” “again”",The Way,American,21st-century,Female
Emily Dickinson,"It sifts from Leaden Sieves -
It powders all the Wood.
It fills with Alabaster Wool
The Wrinkles of the Road -
It makes an even Face
Of Mountain, and of Plain -
Unbroken Forehead from the East
Unto the East again -
It reaches to the Fence -
It wraps it Rail by Rail
Till it is lost in Fleeces -
It deals Celestial Vail
To Stump, and Stack - and Stem -
A Summer’s empty Room -
Acres of Joints, where Harvests were,
Recordless, but for them -
It Ruffles Wrists of Posts
As Ankles of a Queen -
Then stills it’s Artisans - like Ghosts -
Denying they have been -",It sifts from Leaden Sieves - (291),American,19th-century,Female
Emily Dickinson,"How many times these low feet staggered -
Only the soldered mouth can tell -
Try - can you stir the awful rivet -
Try - can you lift the hasps of steel!
Stroke the cool forehead - hot so often -
Lift - if you care - the listless hair -
Handle the adamantine fingers
Never a thimble - more - shall wear -
Buzz the dull flies - on the chamber window -
Brave - shines the sun through the freckled pane -
Fearless - the cobweb swings from the ceiling -
Indolent Housewife - in Daisies - lain!",How many times these low feet staggered (238),American,19th-century,Female
Emily Dickinson,"Much Madness is divinest Sense -
To a discerning Eye -
Much Sense - the starkest Madness -
’Tis the Majority
In this, as all, prevail -
Assent - and you are sane -
Demur - you’re straightway dangerous -
And handled with a Chain -",Much Madness is divinest Sense - (620),American,19th-century,Female
Emily Dickinson,"A Route of Evanescence,
With a revolving Wheel –
A Resonance of Emerald
A Rush of Cochineal –
And every Blossom on the Bush
Adjusts it’s tumbled Head –
The Mail from Tunis – probably,
An easy Morning’s Ride –","A Route of Evanescence, (1489)",American,19th-century,Female
Emily Dickinson,"Before I got my eye put out –
I liked as well to see
As other creatures, that have eyes –
And know no other way –
But were it told to me, Today,
That I might have the Sky
For mine, I tell you that my Heart
Would split, for size of me –
The Meadows – mine –
The Mountains – mine –
All Forests – Stintless stars –
As much of noon, as I could take –
Between my finite eyes –
The Motions of the Dipping Birds –
The Morning’s Amber Road –
For mine – to look at when I liked,
The news would strike me dead –
So safer – guess – with just my soul
Opon the window pane
Where other creatures put their eyes –
Incautious – of the Sun –",Before I got my eye put out – (336),American,19th-century,Female
Emily Dickinson,"Come slowly – Eden!
Lips unused to Thee –
Bashful – sip thy Jessamines –
As the fainting Bee –
Reaching late his flower,
Round her chamber hums –
Counts his nectars –
Enters – and is lost in Balms.",Come slowly – Eden! (205),American,19th-century,Female
Emily Dickinson,"I know that He exists.
Somewhere – in silence –
He has hid his rare life
From our gross eyes.
’Tis an instant’s play –
’Tis a fond Ambush –
Just to make Bliss
Earn her own surprise!
But – should the play
Prove piercing earnest –
Should the glee – glaze –
In Death’s – stiff – stare –
Would not the fun
Look too expensive!
Would not the jest –
Have crawled too far!",I know that He exists. (365),American,19th-century,Female
Emily Dickinson,"Some keep the Sabbath going to Church –
I keep it, staying at Home –
With a Bobolink for a Chorister –
And an Orchard, for a Dome –
Some keep the Sabbath in Surplice –
I, just wear my Wings –
And instead of tolling the Bell, for Church,
Our little Sexton – sings.
God preaches, a noted Clergyman –
And the sermon is never long,
So instead of getting to Heaven, at last –
I’m going, all along.",Some keep the Sabbath going to Church – (236),American,19th-century,Female
John Ashbery,"Oh there once was a woman
and she kept a shop
selling trinkets to tourists
not far from a dock
who came to see what life could be
far back on the island.
And it was always a party there
always different but very nice
New friends to give you advice
or fall in love with you which is nice
and each grew so perfectly from the other
it was a marvel of poetry
and irony
And in this unsafe quarter
much was scary and dirty
but no one seemed to mind
very much
the parties went on from house to house
There were friends and lovers galore
all around the store
There was moonshine in winter
and starshine in summer
and everybody was happy to have discovered
what they discovered
And then one day the ship sailed away
There were no more dreamers just sleepers
in heavy attitudes on the dock
moving as if they knew how
among the trinkets and the souvenirs
the random shops of modern furniture
and a gale came and said
it is time to take all of you away
from the tops of the trees to the little houses
on little paths so startled
And when it became time to go
they none of them would leave without the other
for they said we are all one here
and if one of us goes the other will not go
and the wind whispered it to the stars
the people all got up to go
and looked back on love",How to Continue,American,20th-century,Male
John Ashbery,"Cervantes was asleep when he wrote Don Quixote.
Joyce slept during the Wandering Rocks section of Ulysses.
Homer nodded and occasionally slept during the greater part of the Iliad; he was awake however when he wrote the Odyssey.
Proust snored his way through The Captive, as have legions of his readers after him.
Melville was asleep at the wheel for much of Moby-Dick.
Fitzgerald slept through Tender Is the Night, which is perhaps not so surprising,
but the fact that Mann slumbered on the very slopes of The Magic Mountain is quite extraordinary—that he wrote it, even more so.   
Kafka, of course, never slept, even while not writing or on bank holidays.
No one knows too much about George Eliot’s writing habits—my guess is she would sleep a few minutes, wake up and write something, then pop back to sleep again.
Lew Wallace’s forty winks came, incredibly, during the chariot race in Ben-Hur.
Emily Dickinson slept on her cold, narrow bed in Amherst.
When she awoke there would be a new poem inscribed by Jack Frost on the windowpane; outside, glass foliage chimed.
Good old Walt snored as he wrote and, like so many of us, insisted he didn’t.
Maugham snored on the Riviera.
Agatha Christie slept daintily, as a woman sleeps, which is why her novels are like tea sandwiches—artistic, for the most part.
I sleep when I cannot avoid it; my writing and sleeping are constantly improving.
I have other things to say, but shall not detain you much.
Never go out in a boat with an author—they cannot tell when they are over water.
Birds make poor role models.
A philosopher should be shown the door, but don’t, under any circumstances, try it.
Slaves make good servants.
Brushing the teeth may not always improve the appearance.
Store clean rags in old pillow cases.
Feed a dog only when he barks.
Flush tea leaves down the toilet, coffee grounds down the sink.
Beware of anonymous letters—you may have written them, in a wordless implosion of sleep.",Sleepers Awake,American,20th-century,Male
John Ashbery,"The room I entered was a dream of this room.
Surely all those feet on the sofa were mine.
The oval portrait
of a dog was me at an early age.
Something shimmers, something is hushed up.
We had macaroni for lunch every day
except Sunday, when a small quail was induced
to be served to us. Why do I tell you these things?
You are not even here.",This Room,American,20th-century,Male
John Ashbery,"In town it was very urban but in the country cows were covering the hills. The clouds were near and very moist. I was walking along the pavement with Anna, enjoying the scattered scenery. Suddenly a sound like a deep bell came from behind us. We both turned to look. “It’s the words you spoke in the past, coming back to haunt you,” Anna explained. “They always do, you know.”
       Indeed I did. Many times this deep bell-like tone had intruded itself on my thoughts, scrambling them at first, then rearranging them in apple-pie order. “Two crows,” the voice seemed to say, “were sitting on a sundial in the God-given sunlight. Then one flew away.”
      “Yes . . . and then?” I wanted to ask, but I kept silent. We turned into a courtyard and walked up several flights of stairs to the roof, where a party was in progress. “This is my friend Hans,” Anna said by way of introduction. No one paid much attention and several guests moved away to the balustrade to admire the view of orchards and vineyards, approaching their autumn glory. One of the women however came to greet us in a friendly manner. I was wondering if this was a “harvest home,” a phrase I had often heard but never understood.
      “Welcome to my home . . . well, to our home,” the woman said gaily. “As you can see, the grapes are being harvested.” It seemed she could read my mind. “They say this year’s vintage will be a mediocre one, but the sight is lovely, nonetheless. Don’t you agree, Mr. . . .”
      “Hans,” I replied curtly. The prospect was indeed a lovely one, but I wanted to leave. Making some excuse I guided Anna by the elbow toward the stairs and we left.
      “That wasn’t polite of you,” she said dryly.
      “Honey, I’ve had enough of people who can read your mind. When I want it done I’ll go to a mind reader.”
      “I happen to be one and I can tell you what you’re thinking is false. Listen to what the big bell says: ‘We are all strangers on our own turf, in our own time.’ You should have paid attention. Now adjustments will have to be made.”",If You Said You Would Come With Me,American,20th-century,Male
